Tweet,polarity,predicted_sentiment
Hand-Held ���Hobo�۪: Drafthouse launches ���Hobo With a Shotgun�۪ iPhone app #SXSW {link},0.0,Neutral
Again? RT @mention Line at the Apple store is insane.. #sxsw,-1.0,Negative
"Boooo! RT @mention Flipboard is developing an iPhone version, not Android, says @mention #sxsw",0.0,Neutral
Thanks to @mention for publishing the news of @mention new medical Apps at the #sxswi conf. blog {link} #sxsw #sxswh,0.11212121212121212,Positive
���@mention &quot;Apple has opened a pop-up store in Austin so the nerds in town for #SXSW can get their new iPads. {link} #wow,0.11818181818181818,Positive
Know that &quot;dataviz&quot; translates to &quot;satanic&quot; on an iPhone. I'm just sayin'. #sxsw,0.0,Neutral
Spark for #android is up for a #teamandroid award at #SXSW read about it here: {link},-0.75,Negative
Does your #SmallBiz need reviews to play on Google Places...We got an App for that..{link}  #seo #sxsw,0.0,Neutral
@mention  #SXSW LonelyPlanet Austin guide for #iPhone is free for a limited time {link} #lp #travel,0.1642857142857143,Positive
"Just what America needs. RT @mention Google to Launch Major New Social Network Called Circles, Possibly Today {link} #sxsw",0.05804924242424242,Positive
First day at sxsw.  Fun final presentation on Google Doodles.  #GoogleDoodle #sxsw,0.18333333333333335,Positive
The queue at the Apple Store in Austin is FOUR blocks long. Crazy stuff! #sxsw,-0.4,Negative
Hope it's better than wave RT @mention Buzz is: Google's previewing a social networking platform at #SXSW: {link},-0.07222222222222223,Negative
&quot;You can Google Canadian Tuxedo and lose yourself for hours&quot; #sxsw,0.0,Neutral
SYD #SXSW crew your iPhone extra juice pods have been procured.,0.0,Neutral
Shipments daily - follow @mention #AppleATXdt 4 updates RT @mention Pop-up Apple Store seems to be out of pop-up iPad2s. #SXSW,0.0,Neutral
Lovin the digital! @mention band sings into iPhone &amp; plays guitar app as fans record vids on iPad2s #CNN Digital #cnngrill #sxsw #sxswi,0.0,Neutral
Why Barry Diller thinks iPad only content is nuts @mention #SXSW {link},0.0,Neutral
Gave into extreme temptation at #SXSW and bought an iPad 2... #impulse,-0.125,Negative
Do it! RT Find the hottest spots @mention w/ @mention Hot Spots #SXSW app on #WP7 {link} or iPhone {link},0.25,Positive
